,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
0,0.9427688717842102,,,,,,,,,,,,,,,,,,,,,,,,,
1,,0.9427688717842102,,0.001,,"[[4.19919897e+01 2.03010842e+01 3.76425990e+01]
 [5.22189670e-02 1.19668466e-02 1.41285084e-04]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.41997075 0.00058761 0.        ],[0.59152028 0.00117452 0.        ],[9.98757999e-01 5.89121083e-04 0.00000000e+00],[0.42019019 0.18603119        nan],[0.18822754 0.79685848 0.6235726 ],[0.42019019 0.18603119        nan],,,,,,,,,,,,
2,,,0.9648633599281311,0.001,,,"[[3.26090212e+00 9.67062067e+01 0.00000000e+00]
 [0.00000000e+00 3.28911675e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[3.26197502e-02 3.39998700e-04 1.00000000e+00],[6.31786294e-02 6.79766281e-04 1.00000000e+00],[1.000000e+00 3.399987e-04          nan],[0.03261975 1.                nan],[1.         0.03261975 1.        ],[0.03261975 1.                nan],,,,,,
3,0.9289398193359375,,,,,,,,,,,,,,,,,,,,,,,,,
4,,0.9289398193359375,,0.001,,"[[6.55907525e+01 1.66822080e+01 1.76627124e+01]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.65632972 0.00384122 0.        ],[0.79251095 0.00765304 0.        ],[1.         0.00384122 0.        ],[0.65632972 1.                nan],[1.         0.83307054 0.82337288],[0.65632972 1.                nan],,,,,,,,,,,,
5,,,0.9612225294113159,0.001,,,"[[8.41502437e+00 9.15519997e+01 8.47710503e-05]
 [0.00000000e+00 3.28911675e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.08417793 0.00035913 0.        ],[0.15528435 0.00071801 0.        ],[1.00000000e+00 3.59133119e-04 0.00000000e+00],[0.08417793 1.                nan],[1.         0.08417878 0.99999915],[0.08417793 1.                nan],,,,,,
6,0.925358235836029,,,,,,,,,,,,,,,,,,,,,,,,,
7,,0.925358235836029,,0.001,,"[[7.98255497e+01 1.77730278e+01 2.33709547e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.79876932 0.00360631 0.        ],[0.88812869 0.00718671 0.        ],[1.         0.00360631 0.        ],[0.79876932 1.                nan],[1.         0.82215532 0.97662905],[0.79876932 1.                nan],,,,,,,,,,,,
8,,,0.957324743270874,0.001,,,"[[2.14057781e+01 7.82137694e+01 3.47561306e-01]
 [0.00000000e+00 3.28911675e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.21412821 0.00042035 0.        ],[0.35272751 0.00084035 0.        ],[1.00000000e+00 4.20352348e-04 0.00000000e+00],[0.21412821 1.                nan],[1.         0.21760497 0.99652439],[0.21412821 1.                nan],,,,,,
9,0.9214562177658081,,,,,,,,,,,,,,,,,,,,,,,,,
10,,0.9214562177658081,,0.001,,"[[8.03733119e+01 1.75141370e+01 2.04822399e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80425047 0.00365943 0.        ],[0.89150645 0.00729217 0.        ],[1.         0.00365943 0.        ],[0.80425047 1.                nan],[1.         0.82474589 0.97951776],[0.80425047 1.                nan],,,,,,,,,,,,
11,,,0.9540959596633911,0.001,,,"[[3.47486708e+01 6.11976906e+01 4.02074743e+00]
 [0.00000000e+00 3.28911675e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.34760104 0.00053717 0.        ],[0.51588123 0.00107376 0.        ],[1.00000000e+00 5.37168953e-04 0.00000000e+00],[0.34760104 1.                nan],[1.         0.38782174 0.95979253],[0.34760104 1.                nan],,,,,,
12,0.9177234172821045,,,,,,,,,,,,,,,,,,,,,,,,,
13,,0.9177234172821045,,0.001,,"[[8.03724642e+01 1.66484691e+01 2.91473954e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80424199 0.00384897 0.        ],[0.89150124 0.00766843 0.        ],[1.         0.00384897 0.        ],[0.80424199 1.                nan],[1.         0.83340814 0.9708526 ],[0.80424199 1.                nan],,,,,,,,,,,,
14,,,0.9518198370933533,0.001,,,"[[4.18419026e+01 4.63790752e+01 1.17461310e+01]
 [0.00000000e+00 3.28346535e-02 5.65140336e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.41855669 0.00070746 0.        ],[0.59011627 0.00141392 0.        ],[1.00000000e+00 7.07461804e-04 0.00000000e+00],[0.41855669 0.99828179        nan],[1.         0.53605665 0.88253812],[0.41855669 0.99828179        nan],,,,,,
15,0.9145747423171997,,,,,,,,,,,,,,,,,,,,,,,,,
16,,0.9145747423171997,,0.001,,"[[8.02602273e+01 1.55313986e+01 4.14404692e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.8031189  0.00412466 0.        ],[0.8908108  0.00821544 0.        ],[1.         0.00412466 0.        ],[0.8031189 1.              nan],[1.         0.84458604 0.95855953],[0.8031189 1.              nan],,,,,,,,,,,,
17,,,0.9508529901504517,0.001,,,"[[4.60198438e+01 3.43504164e+01 1.95968487e+01]
 [0.00000000e+00 2.87373861e-02 4.15378147e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,,,,,,[0.46034985 0.00083579 0.        ],[0.63046516 0.00167019 0.        ],[1.00000000e+00 8.35895678e-04 0.00000000e+00],[0.46034985 0.87371134        nan],[1.         0.65638282 0.80398998],[0.46034985 0.87371134        nan],,,,,,
18,0.9120672345161438,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0.9120672345161438,,0.001,,"[[8.02274775e+01 1.43361551e+01 5.37204036e+00]
 [0.00000000e+00 6.43270987e-02 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]]",,,[0.80279119 0.00446701 0.        ],[0.89060918 0.00889429 0.        ],[1.         0.00446701 0.        ],[0.80279119 1.                nan],[1.         0.85654617 0.9462796 ],[0.80279119 1.                nan],,,,,,,,,,,,
